X,Y,RECNO,COMMUNE_EX
2.1374,13.5791,26,1
2.0791,13.4708,296,3
2.0874,13.4625,322,3
2.1458,13.4458,369,2
2.2124,13.4541,360,2
2.1374,13.5875,8,1
2.2124,13.4625,337,2
2.1874,13.5041,224,2
2.0541,13.4958,229,3
2.1708,13.4375,385,2
2.1541,13.5625,69,1
2.0874,13.5708,40,1
2.1958,13.5041,225,2
2.2041,13.5041,226,2
2.1624,13.5541,92,2
2.1708,13.5208,178,2
2.1708,13.5291,155,2
2.2208,13.4791,291,2
2.0458,13.5625,56,1
2.0374,13.5625,55,1
2.0291,13.5208,161,1
2.0374,13.5125,184,1
2.1541,13.4458,370,2
2.1791,13.5125,201,2
2.1208,13.4541,350,2
2.1458,13.5708,47,1
2.0624,13.4791,272,3
2.0708,13.4708,295,3
2.0874,13.5791,20,1
2.1041,13.4541,348,3
2.0541,13.5708,36,1
2.1708,13.5375,134,2
2.0458,13.5041,207,1
2.0708,13.5791,18,1
2.0958,13.4541,347,3
2.2124,13.5041,227,2
2.2208,13.4708,313,2
2.1124,13.4541,349,3
2.0541,13.4875,251,3
2.0291,13.5625,54,1
2.0624,13.5791,17,1
2.0208,13.5541,75,1
2.0791,13.4625,321,3
2.2208,13.4958,249,2
2.1874,13.5125,202,2
2.0791,13.5791,19,1
2.1624,13.5625,70,2
2.1708,13.5458,113,2
2.1458,13.5791,27,1
2.1541,13.5708,48,1
2.1458,13.4375,383,2
2.2208,13.4541,361,2
2.1458,13.5875,9,1
2.0624,13.4708,294,3
2.2208,13.4625,338,2
2.0374,13.5041,206,1
2.0458,13.4958,228,1
2.1708,13.5541,93,2
2.1958,13.5125,203,2
2.0458,13.5708,35,1
2.2041,13.5125,204,2
2.0541,13.4791,271,3
2.1541,13.4375,384,2
2.1791,13.5208,179,2
2.1791,13.5291,156,2
2.2208,13.4458,373,2
2.0374,13.5708,34,1
2.0208,13.5625,53,1
2.2124,13.5125,205,2
2.1791,13.5375,135,2
2.0458,13.4875,250,3
2.2291,13.4708,314,2
2.0291,13.5708,33,1
2.1624,13.5708,49,1
2.1708,13.5625,71,2
2.1874,13.5208,180,2
2.1541,13.5791,28,1
2.1791,13.5458,114,2
2.0458,13.5791,16,1
2.2208,13.4375,387,2
2.2291,13.4541,362,2
2.2291,13.4625,339,2
2.1541,13.5875,10,1
2.0208,13.5708,32,1
2.1791,13.5541,94,2
2.1958,13.5208,181,2
2.1874,13.5291,157,2
2.2041,13.5208,182,2
2.0374,13.5791,15,1
2.2291,13.4458,374,2
2.1708,13.5708,50,2
2.1624,13.5791,29,1
2.1874,13.5375,136,2
2.0291,13.5791,14,1
2.2124,13.5208,183,2
2.1791,13.5625,72,2
